[2026-07-21 22:56:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-20
正在获取论文...
[arXiv] 2026-07-20 | On the Impact of Stability and the Helly Property on the Dominating Set Problem
[NO] 1419/1797 | Phase-Compensated Wide-Bandwidth Current Sensor Combining Rogowski Coil and TMR
[NO] 1420/1797 | Experimental Study on the Influence of Current Density on the Bubble Resistance Effect of DC Ground Electrode
[NO] 1421/1797 | Noise-Aware and Statistically Validated Dual-Branch Quantum Feature Learning for Clinically Robust Skin Lesion Classification
[NO] 1422/1797 | BACO: A Backoff-Based Coordinated Task Offloading Scheme for Infrastructure-Free MEC
[NO] 1423/1797 | Knowledge-Assisted Multi-Graph Dependency Learning for Multivariate Time Series Anomaly Detection in Multi-Stage Industrial Processes
[NO] 1424/1797 | Technology Transfer Indicators in Defense Offset Policies: The FX-2 Case
[NO] 1425/1797 | A Novel Discrete Sliding Mode Controller for Permanent Magnet Arc Motor Based on Quasi Resonant Control
[NO] 1426/1797 | Stability Analysis of Dual-Inner-Loop Actively Supportive Converters
[NO] 1427/1797 | Autonomous control method of source load interactive distribution network based on DDPG algorithm
[NO] 1428/1797 | Code-Aided Overlapped Parallel Interference Cancellation Mechanism in Asynchronous DS-CDMA Systems
[NO] 1429/1797 | Event-Triggered Distributed Online Convex Optimization over Open Time-Varying Networks
[NO] 1430/1797 | Improved Electrochemical Efficiency of Magnesium-Sulfur Batteries with a Halogen-Free Electrolyte Modified by KBr
[NO] 1431/1797 | A Joint Optimization Method of a Sparse RIS-Assisted Semantic Communication System
[NO] 1432/1797 | Designing Claim-Centric Knowledge Graphs for Traceable Retrieval
[NO] 1433/1797 | Embryo Prediction Network: Determining Embryo Transfer Strategies with Time-Lapse Imaging for In-Vitro Fertilization Treatment
[NO] 1434/1797 | Comparative Study of MPC and MRAC Control with Manual and Reinforcement Learning Tuning
[NO] 1435/1797 | A LightGBM-SHAP Based Framework for Stability Assessment of Hybrid GFM-GFL Wind Power Plants
[NO] 1436/1797 | A Domain-Robust Anomalous Sound Detection Network based on Memory-guided Multi-level Feature Fusion
[NO] 1437/1797 | Application research of data-driven charging behavior prediction models in asset revenue optimization
[NO] 1438/1797 | A Unified Deep Learning Framework for Recognizing Emotions from Video Audio and Text
[NO] 1439/1797 | Emotion-Driven AI-Based Food Recommendation Framework Using Facial Expression Analysis and Health Profiling
[NO] 1440/1797 | ASF Prediction Based on Meteorological Coupling and Support Vector Regression
[NO] 1441/1797 | Research on Digital Application of Substation Meters Based on Machine Vision
[NO] 1442/1797 | AF-FLA Net: Adaptive Feature Pyramid and Focused Linear Attention for Efficient BEV Perception
[NO] 1443/1797 | A Comparative Study of FFT, RFFT, and DCT Convolution
[NO] 1444/1797 | Telemetry-Driven Validation and Supervisory Control for a Lithium-Ion Battery-Based Spacecraft Electrical Power System
[NO] 1445/1797 | SafetyVerse: An AI-Driven Gamified Metaverse for Enhancing Workplace Safety Training and Compliance
[NO] 1446/1797 | Performance impact and energy efficiency analysis of molten salt energy storage systems on coal-fired units under different coupling schemes
[NO] 1447/1797 | Research on RPC power regulation strategy based on chaotic whale optimization algorithm
[NO] 1448/1797 | Reliability and Stability Analysis of Automatic Fire Alarm Systems in Nuclear Power Plants
[NO] 1449/1797 | EffiRainNet: A Parameter-Efficient Spatiotemporal Network for Precipitation Nowcasting
[NO] 1450/1797 | Optimal Capacity Configuration of Wind-Solar-Hydrogen-Storage-Charging Microgrids in the Alpine Environment of Tibet
[YES] 1451/1797 | Code for Machines, Not Just Humans: Quantifying AI-Friendliness with Code Health Metrics
[YES] 1452/1797 | PIChecker: Automatic Privacy Detector for Third Party Libraries in Android Apps
[NO] 1453/1797 | A Real-Time Voice Agent for Delivering Individual Cognitive Stimulation Therapy to Persons Living with Dementia
[NO] 1454/1797 | A Linux Test Question Generation Method for Knowledge-Enhanced Large Language Models
[NO] 1455/1797 | Embodying the Disney Method: A Multi-Avatar Conversational Interface for Structured Brainstorming
[NO] 1456/1797 | Comparing Intent Communication Modes for Instruction-based Image Editing
[NO] 1457/1797 | AegisPath: Privacy-Preserving Interdomain Data-Plane Verification with Versioned Verifiable Evidence
[NO] 1458/1797 | The ADCB Pedagogical Framework for Supporting Learning in Heterogeneous PGT Computer Science Cohorts
[YES] 1459/1797 | Type-aware LLM-based Test Generation for Python Programs
[NO] 1460/1797 | Query Optimization in the Wild: Realities and Trends
[NO] 1461/1797 | <i>G1Stack</i>
                    : A Learning-Assisted Scheduler Framework for Interactive and Batch Workload Co-location with High Resource Efficiency
[NO] 1462/1797 | A Hybrid Dynamic Subarray Architecture for Efficient DOA Estimation in THz Ultra-Massive Hybrid MIMO Systems
[NO] 1463/1797 | Adversarial Robustness in Zero-Shot Learning: An Empirical Study on Class and Concept-Level Vulnerabilities
[NO] 1464/1797 | LLM-Enhanced Transformer Self-Learning Framework for Dynamic Power Allocation in High-Throughput Satellite Communications
[NO] 1465/1797 | Development of the Sleepy Chatbot as an Interactive Medium for Sleep Quality Monitoring
[NO] 1466/1797 | Author Index
[NO] 1467/1797 | Effect of Visual Input on Postural Control Under Vestibular Degradation During Unstable Standing
[NO] 1468/1797 | Membership and Property Inference Attacks on text Data in Transfer Learning
[NO] 1469/1797 | Power and Performance Scaling Trends in Modern Intel Xeon Server CPUs
[YES] 1470/1797 | Configuration-Driven RTL Port Initialization with LLM-Assisted Inference
[NO] 1471/1797 | An Enhanced Ultraviolet-Visible Photodetector Based on the All-In-One Integration of a Broadband Absorber and a-IGZO Thin Film Transistor
[NO] 1472/1797 | Mixed Methods Evaluation and Recommendations for ERP Accounts Payable Success and Maturity in a Multi-Business Company
[YES] 1473/1797 | Integrating Large Language Models into Cybersecurity: Prompt-Based Code Analysis
[NO] 1474/1797 | A Genetic Algorithm Approach to the Vehicle Routing Problem with Simultaneous Pickup, Delivery, and Cargo Loading (VRPSPD-CL) for Capacity Utilization and Distance Reduction in City Logistics
[NO] 1475/1797 | Decentralized Blockchain-Based Incident Reporting with Map-Based Visualization and AI Assistance
[NO] 1476/1797 | AI-Assisted Threat Scoring for Network Intrusion Detection Using Python-Based Lightweight Models
[NO] 1477/1797 | Design and Phantom-Based Evaluation of a Compact UWB Vivaldi Antenna for Breast Microwave Sensing
[NO] 1478/1797 | HardTVAE: Hardness-Aware Generation and Multi-View Fidelity Evaluation of Synthetic Tabular Data for Imbalanced Learning
[YES] 1479/1797 | ML and Adaptive Pseudorandom Pattern Generator Based on LFSR for Built-In Self-Test
[NO] 1480/1797 | Adversarial Machine Learning Attacks and Defense Mechanisms in Renewable Energy System
[NO] 1481/1797 | A Circular Bounding Box Detection Algorithm Based on Improved YOLOv8 for Dense Fruit Images
[NO] 1482/1797 | Privacy-Aware Distributed RAG with Confidence-Aware Retrieval Routing
[NO] 1483/1797 | Multi-Objective Multi-Verse Optimization of FreeSpace Optical Communication for 6G Networks
[NO] 1484/1797 | A Comprehensive and Cohesive Multi-Stage Framework for Enhancing Data Quality in Medical Data Analysis
[NO] 1485/1797 | The SpiNNaker2 chip: a many-core platform for flexible and scalable brain-inspired computing_supp1-3714974.pdf
[NO] 1486/1797 | Automatic Lightning Detection from VIIRS/DNB Nighttime Low-Light Imagery Based on Deep Learning
[NO] 1487/1797 | Balancing Accuracy and Efficiency in Two-Stage Object-Level Waste Recognition: YOLOv11-Based Cropping with EfficientNet-B0 vs MobileNetV2 Classification
[NO] 1488/1797 | AI Chatbot Effectiveness in Answering Student Inquiries for Academic Assistance
[YES] 1489/1797 | Intelligent Bug Detection and Code Clone Identification for Efficient Software Development
[NO] 1490/1797 | Semantic Co-creation Model in AI-Based Interactive Art: Redefining Human-Machine Collaboration in the Chinese Cultural Context
[NO] 1491/1797 | Vision Model Scaling and Fusion for High-Precision UAV-Based Human Detection
[NO] 1492/1797 | Multi-Center Generalization in Breast Ultrasound Deep Learning: Patient-Level Data Leakage and Cross-Dataset Evaluation
[NO] 1493/1797 | GluConv: Toward Trustworthy Convolutional Modeling for Sequential Signal Forecasting
[NO] 1494/1797 | Application of Large Language Model-Based Data Augmentation in Short Text Classification
[NO] 1495/1797 | Do Macroeconomic Indicators Consistently Improve AI-Based Market Direction Prediction? A Walk-Forward Comparison of XGBoost, LSTM, and TFT on the S&amp;P 500
[NO] 1496/1797 | A Comparative Analysis of Machine Translation Tools for Technical and UI Texts
[NO] 1497/1797 | PGA-Track: Perception-Guided Asynchronous Fusion for Vessel Tracking via AIS and Video Modalities
[NO] 1498/1797 | KPCA-RAG: Kernel Principal Component Analysis for improved Retrieval-Augmented Generation
[NO] 1499/1797 | Enhancing Mapping Consistency for Motion Consistency: Spatio-Temporal Gaussian Process Maps for Autonomous Navigation in Dynamic Environments
[NO] 1500/1797 | A Multi-Layer Intelligent Cyber Defense Mechanism Integrating Zero-Trust Principles for Secure Digital Payments
[NO] 1501/1797 | Method for Designing Lightweight Convolution Modules Based on Structural Reparameterization
[NO] 1502/1797 | Authorship Attribution for Turkish Texts Using Transformer-Based Large Language Models and Deep Learning Approaches
[NO] 1503/1797 | DSAF-YOLOv8: A Behavior Detection Algorithm for Dense and Occluded Multi-Person Scenes
[NO] 1504/1797 | Enhancing Cryptographic Pseudo-Random Number Generation with Generative Adversarial Networks and Post-Processing Techniques
[NO] 1505/1797 | Sensorless Control of Brushless Doubly-Fed Machines: A Review
[NO] 1506/1797 | Joint Power Allocation and Phase Shift Design for Stacked Intelligent Metasurfaces-aided Cell-Free Massive MIMO Systems with MARL
[NO] 1507/1797 | Pinching-Antenna-Assisted Secure NOMA Systems Against Internal Eavesdropping
[NO] 1508/1797 | Environment-Aware Jamming-Resilient UAV Routing Against Gray-Hole Attacks in Maritime Networks
[NO] 1509/1797 | Toward Robust Collaborative 3-D Object Detection via Two-Stage Cross-Domain Knowledge Transfer in Autonomous Driving
[NO] 1510/1797 | GWLSTM: A Spatial–Temporal Fusion Graph Wavelet LSTM for Trustworthy Open-Set Fault Diagnosis
[NO] 1511/1797 | A Comparative Research on Psychoacoustic Parameters of Asynchronous Motor Noise in New Energy Vehicles Collected by Microphone and Digital Artificial Head
[NO] 1512/1797 | A multi-person pose recognition model based on YOLOv8-Pose
[NO] 1513/1797 | Self-Supervised Contrastive Representation Learning for Multi-Stage Dental Caries Classification with Explainable AI
[NO] 1514/1797 | Analysis of Critical Electromagnetic Force Orders and Their Modulation Issues in Auxiliary Drive Induction Motors for Electric Vehicles
[NO] 1515/1797 | Robust Point Cloud Registration by Selecting the Highest Possibility
[NO] 1516/1797 | Quantitative Modeling of Network Security Awareness via Questionnaire Analysis and Dimensionality Reduction Techniques
[NO] 1517/1797 | The AI Alignment Problem, Solutions, and Limits
[NO] 1518/1797 | A Direct Isolated AC-AC Converter Topology
[NO] 1519/1797 | NeuroRT: An Efficient Neuromorphic Processor via Synapse Compression and Dynamic Neuron Pruning
[NO] 1520/1797 | CARNet: Collaborative Adversarial Resilience for Robust Underwater Image Enhancement and Perception
[NO] 1521/1797 | Physics-augmented Multi-task Gaussian Process for Modeling Spatiotemporal Dynamics
[NO] 1522/1797 | A Dataset and Benchmarks for Atrial Fibrillation Detection from Electrocardiograms of Intensive Care Unit Patients
[NO] 1523/1797 | Fundamental Limits of Linearly Separable Distributed Computing without File Partitioning
[NO] 1524/1797 | XPLAIN: A Proactive Scaffold Across Speech Processing Stages---Supporting Non-Native Speakers in Real-Time AI-Mediated Turn-Taking
[NO] 1525/1797 | Reminiscences on Influential Papers
[NO] 1526/1797 | YOLOv8-Based Sonar Ship Detection With Noise Feature Enhancement and Support-Guided Adaptation
[NO] 1527/1797 | Bridging the SDG Gap: Indonesian and Thai University Students' Perceptions on Adaptive Learning with AI Tutors
[NO] 1528/1797 | 2026 5th International Symposium on New Energy Technology Innovation and Low Carbon Development (NET-LC)
[NO] 1529/1797 | ipc_shared_ptr: A Publish/Subscribe-Aware Smart Pointer for Cross-Process Object Lifetime Management
[NO] 1530/1797 | Federated Learning vs. Centralized Approaches for Lesion Detection in Mammography Images
[NO] 1531/1797 | Fault Diagnosis of High-Voltage Disconnector Switches Based on Motor Current and Travel Curves
[NO] 1532/1797 | Analysis of Influencing Factors of DC Bias Risk in Zhejiang Power Grid
[NO] 1533/1797 | Analysis of Power Estimation and Forecasting Methods for the Supply Side of Port Area Multi-Energy Integrated Systems
[NO] 1534/1797 | Adaptive OSFOA for Resource Scheduling in Cloud-Edge Systems
[NO] 1535/1797 | Simulation of Fault-Tolerant Control for Adjacent Two-Phase Open-Circuit in Five-Phase Permanent Magnet Synchronous Motor
[NO] 1536/1797 | An Optimization Approach for Microgrid Dispatch Considering Frequency and Voltage Stability
[NO] 1537/1797 | A Self-Healing Digital Twin Framework for Autonomous IoT Node Management
[NO] 1538/1797 | Axial Deformation of Transformer Windings Considering Cumulative Interlayer Transfer of Clamping Force
[NO] 1539/1797 | Modeling and Design of Series Elastic Actuators with Energy Harvesting Capability Based on the Inerter Network
[NO] 1540/1797 | Feature Point Extraction and Matching Method for Power Equipment Based on Improved AKAZE-SIFT Algorithm
[NO] 1541/1797 | A Novel Underwater Weak Signal Detection Method Based on Multi-Scroll Coupled High-Order Duffing Oscillator
[NO] 1542/1797 | Study on Aggregation Optimization Method for Coupling Photovoltaic and Air Conditioning Load in Metro Virtual Power Plant
[NO] 1543/1797 | Research on Self-oscillation Conditions of Oscillation Circuit in Passive DC Transfer Switch and Its Dependence on Arc Time Constant
[NO] 1544/1797 | Improved Finite Difference Scheme for Differential Equations and Computer Simulation Verification
[NO] 1545/1797 | Smooth-guided Nutation Fiber Coupling Algorithm in Free-Space Optical Communication
[NO] 1546/1797 | Diverse Sequential Metamorphic Testing of Autonomous Driving: A Scenario-Based Empirical Study
[NO] 1547/1797 | Algorithms to Sustainability: How Ambidextrous Green Innovation Drives ESG Excellence
[NO] 1548/1797 | Simulation Study of a Piezoelectrically Driven Resonant MEMS Electric Field Sensor Based on Electrostatic-Force-Induced Frequency Shift
[NO] 1549/1797 | Application of AI Models to Improve the Capabilities of Graphene Membranes in the Purification of Produced Water
[NO] 1550/1797 | Life Cycle Assessment of a Blade-Structured Lithium Iron Phosphate Battery for Electric Vehicles
