[2026-07-04 22:57:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-03
正在获取论文...
[ACM] 2026-7-3 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[NO] 795/942 | Computer Model For Identifying The Period Of Uzbek Texts Based On Lexical, Morphological, And Syntactic Features
[NO] 796/942 | A Hybrid Reinforcement Learning-Guided Grey Wolf Optimizer for UAV Path Planning
[NO] 797/942 | Monolithic 3D Integration of Stacked IGZO/Si Memtransistor-Based 2T0c Gain Cell for Attention Computation and CFET SRAM-DCIM With Multiple Spectral CNT-Sensors for End-To-End Vision Transformers (Vits) on Edge AI
[NO] 798/942 | A Change-Detection Approach Using Google Earth Engine to Monitor the Loss of Historically-Significant Sustainable Traditional OASIS Agriculture
[NO] 799/942 | A Sub-μW VCO-Based Direct Digitization Front-End with an Auto-Ranging Technique Achieving 1.8 NEF and 182.3 FoM
                    <sub>DR</sub>
                    for Energy-Efficient Neural Recording
[NO] 800/942 | A Monolithic 20W/$\text{mm}^{2}$ 4.8V Input 94.8% Peak Efficiency 2-1 Switched Capacitor Voltage Regulator as First-Stage Current Multiplier for Vertical Power Delivery
[NO] 801/942 | Total Harmonic Distortion Reduction in Cascaded Multilevel Inverters using Multicarrier Phase Shift Pulse Width Modulation Strategy
[NO] 802/942 | Vision-Based Driver Drowsiness Detection Using Eye-State Analysis and Lightweight CNNs
[NO] 803/942 | A 40nm 24.85-to-80.59 TFLOPS/W FP8 Computing-in-Memory Macro with Outlier-Aware Hierarchical-Alignment for Edge Transformers
[NO] 804/942 | An 80.198um
                    <sup>2</sup>
                    Compact TRNG with Bias Mitigation, Proven PVT Tolerance in 4nm
[NO] 805/942 | Energy communities – a solution to make consumption more efficient
[NO] 806/942 | IoT Based Intelligent Fault Distance Locator for Underground Power Cables Using Microcontroller
[NO] 807/942 | NLP-Driven Machine Learning Model for Early Detection of Crude Oil Price Volatility
[NO] 808/942 | SPNet: Rethinking Feature Pyramids for Aerial Small Object Detection
[NO] 809/942 | An in-Ear Sleep Modulation SoC Featuring a CNN–LSTM Accelerator with Long-Kernel Memory Reuse and Runtime Dynamic Quantization
[NO] 810/942 | Cross-Model Analysis of Token-Level Explanations in Tatar Text Classification
[NO] 811/942 | A 16 Mb 28 nm FD-SOI STT-MRAM Achieving 2.0 ns Read Access Time at 0.9 V via a PVT-Variation-Tolerant Dual-Reference Sensing Scheme
[NO] 812/942 | The Impact of Bilingual Thinking on Problem-Solving Skills: Implications for Intelligent Educational Systems in Turkic Language Contexts
[NO] 813/942 | Advanced Hybrid Fuzzy Approach to Automatic Generation Control (AGC) with Different Sources of Generation
[NO] 814/942 | High-Density Chiplet Integration using Face-Down COW Processes with Bumpless Interconnects for Heterogeneous 3D Systems
[NO] 815/942 | Adaptive Array Processing for FH-GNSS System with Beam-Squint Against Jamming
[NO] 816/942 | Meeting AI Demand Through Equipment Innovation and AI-Driven Manufacturing: Progress and Challenges
[NO] 817/942 | The Thermal Paradox of Oxygen Vacancies: Screening vs. Depolarization Setting the Retention in W-Doped Indium Oxide FEFETs
[NO] 818/942 | Geometric Intelligence: Hybrid Observation with Deep Reinforcement Learning for Autonomous UAV Navigation
[NO] 819/942 | A $28 \mathrm{nm} 0.7$ pJ/Bit Optically-Programmable, Fully-Digital Sram-Based Receiver Array with on-Chip Skew Calibration for Energy-Efficient Wireless Data Transfer
[NO] 820/942 | Transforming legacy Research Software into Free Software: Early impressions from Participant Observation
[NO] 821/942 | Managing Reproducibility Debt in Scientific Software: A Practical Framework
[NO] 822/942 | Experiments in Gaussian Splatting for VFX Scene Reconstruction
[NO] 823/942 | Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Frontiers
[NO] 824/942 | No Engine Required: Teaching Game Programming (Mostly) From Scratch
[NO] 825/942 | Comparative Deep Learning Approaches for Personal Protective Equipment Recognition in Industrial Environments
[NO] 826/942 | High-Precision Channel Simulation for Non-Gaussian Fading: A Copula-Based Approach
[NO] 827/942 | Fault Detection and Classification for Distribution Network with Decentralized Power Generation Sources Using Combined WPT and XGBoost
[YES] 828/942 | ISFET model development in Sentaurus Device
[NO] 829/942 | Innovative Performance of 6th Generation 11nm DRAM Cell Transistor for HBM4 Application
[NO] 830/942 | Gleanmer: A 6 mW SoC for Real-Time 3D Gaussian Occupancy Mapping
[NO] 831/942 | Development of an NLP System for Detecting and Correcting Spelling Errors in Uzbek
[NO] 832/942 | Simulation of Bioelectric and Thermal Effects of Multi-Electrode Microcurrent on Subcutaneous Tissues
[NO] 833/942 | Real-Time RF Streaming on RFSoC 4x2: Quantifying OS Overhead in PL-to-PS Transport
[NO] 834/942 | Effective Dipole Strength Modulation Using Imprinted Gadolinium Dipole (IGD) Layer to Achieve Fine $\mathrm{V}_{\mathrm{t}}$ Tunability for Low Thermal Budget CFET Devices
[NO] 835/942 | TADDH: Task-Aligned Dynamic Detection Head for High-Performance X-ray Prohibited Item Detection
[NO] 836/942 | Performance Evaluation of ANFIS-Based Adaptive Virtual Impedance Controller Under Sudden Load Changes in Islanded Hybrid Microgrid
[NO] 837/942 | DCGCD: Cognitive Diagnosis Based on Dual-Channel Graph Convolution Learning
[NO] 838/942 | Fixed-Threshold Method for Yelp Siren Detection
[NO] 839/942 | Optimized ANN-Based Dynamic Rotor Speed Control for Floating Offshore Wind Turbines in High Wind Speeds
[NO] 840/942 | A Budget-Constrained Multi-Pilot Design for the Delay–Doppler Domain
[NO] 841/942 | Sensor Data Fusion for Structural Health Monitoring of Aerospace-Relevant Magnetorheological Elastomer Sandwich Structures
[NO] 842/942 | Intelligent integration of data on software ecosystem platforms to support data-intensive applications
[NO] 843/942 | When Code Meets Things: The FLOSS Side of IoT Systems
[YES] 844/942 | BreachT5: Ensembling CodeT5+ Models for Multi-Label Vulnerability Detection in Smart Contracts
[NO] 845/942 | Resilient Adaptive PI-Based Control of Distributed Power Flow Controllers for Wind Energy Integrated Smart Grids
[NO] 846/942 | Multi-Agent PPO for Dynamic UAV Dispatching to Urban Congested Zones
[NO] 847/942 | A Green’s Function Method for Slotline Impedance Calculation in Planar Stratified Media
[NO] 848/942 | A 248.5 $\text{GFLOPS}/\text{mm}^{2}$, 1.67 TFLOPS/W Streaming Processor with Hardware-Level Scheduling for Advanced Spectrum Sensing
[NO] 849/942 | Sparse Ramanujan Sequences based OTFS for Peak-to-Average Power Ratio Reduction
[NO] 850/942 | A Safe Agentic Digital Twin for Autonomous UAV Navigation
[NO] 851/942 | A Robust, Digital-Friendly, Differential and Distributed Supply Monitor Architecture for Automotive SoC in 28nm
[NO] 852/942 | Novel Control of Active and Reactive Power of a Microgrid with Battery Energy Storage System
[NO] 853/942 | Comparative Analysis of MODIS-Derived Spectral Indices for Drought Monitoring: A Case Study of the Konya Basin, Türkıye
[NO] 854/942 | Parameter-efficient fine-tuning of large language models for Tatar language: a comparative study of LoRA and QLoRA
[NO] 855/942 | SAR Image Denoising Using Non-Local Sparse Principal Component Analysis
[NO] 856/942 | SEUT: Semantic-Aware Multimodal Medical Data Transmission for Multi-Center Collaborative Diagnosis
[NO] 857/942 | A 1-to-1050-mA DLDO with Rising-Edge Computational Control and Load-Dependent Feedback Achieving 46-mV/ns DVS Rate and 0.15-Ps FoM
[NO] 858/942 | Reliability-Aware Multicast SFC Resource Optimization in NFV-enabled Networks
[NO] 859/942 | Patch vs Scene Level Features for Parking Slot Detection under Diverse Weather Conditions
[NO] 860/942 | An Integrated Control Approach for Solar PV and Grid Connected EV Battery Charging System
[NO] 861/942 | Surrogate Modeling Framework for Cost-Effective and Efficient Design of Dielectric Resonator Antennas in Wireless Communication Systems
[NO] 862/942 | Demand Side Management Based Techno-Economic Evaluation of Floating Solar PV Plant
[NO] 863/942 | A Comparison between different Machine Learning Approaches for Pathloss Prediction as a Function of Scatterer Density
[NO] 864/942 | Modeling Continuous Disease Risk Probability in Crops by Integrating Expert Rules and Boundary Sampling
[NO] 865/942 | Improving Light-Use-Efficiency GPP Modeling in Semi-Arid Olive Orchards Using a Sentinel-3 Thermal CWSI Stress Constraint
[NO] 866/942 | Carrier Frequency Estimation for Noise-OOK Signaling
[NO] 867/942 | Secure and Compliant Circular Economy through Blockchain-enabled Supply Chain Framework
[NO] 868/942 | Human Agency in AI-Mediated Education or Ethical Risks and Opportunities via the Human Agency Preservation Framework
[NO] 869/942 | Smart Wireless EV Charging Station with RFID Authentication and IoT Monitoring
[NO] 870/942 | An Improved Approximation of the Refraction Point at the Air/Soil Interface for GPR
[NO] 871/942 | Neural Quadrature Rule and Autoregressive Adaptive Sampling
[NO] 872/942 | Natural Language-based Hardware Topology Retrieval Method with Cyclic Incremental Mechanism for Embedded System Firmware Requirement Decomposition
[NO] 873/942 | IMPERIAL: An Implicit Personality Enhanced Hierarchical LLM Framework for Emotion Recognition in Conversation_supp1-3709325.pdf
[NO] 874/942 | A Wideband CMOS Image-Rejection Up-Conversion Mixer With Hybrid Polyphase Filter
[NO] 875/942 | Forced Oscillations Frequency Localization and Risk Assessment Method of All-Electric Ship Power Systems with High-Frequency Pulsed Power Loads
[NO] 876/942 | Ultrasound-Informed State Estimation of Wrist Tremor Dynamics via Koopman Operator for Personalized Sensory Peripheral Nerve Stimulation_supp1-3709711.pdf
[NO] 877/942 | Communication-Efficient Federated Traffic Prediction via Hierarchical Split Learning
[NO] 878/942 | Table of Contents
[NO] 879/942 | MV-UMI: A Scalable Multi-View Interface for Cross-Embodiment Learning
[NO] 880/942 | Effects of Flow Induced Vortices on Surface Charge Distribution and Dissipation of Insulator Sheds
[NO] 881/942 | A Thermal Aging Life Model for Oil-Paper Insulation Based on the Intrinsic Degradation Mechanism of Cellulose
[NO] 882/942 | Edge-Aware Graph Transformer (EdgeGT-Net): A Meta Optimized, Energy Efficient Architecture for Real-Time Multisensor Stress Monitoring in Wearable Electronics
[NO] 883/942 | EVCha: A Multi-Task Learning Framework With Heterogeneous Multi-Graph Fusion for Electric Vehicle Charging Demand Prediction
[NO] 884/942 | Low-Altitude Target Detection in Forward Scatter Radar Based on Time–Frequency Ridge Extraction
[NO] 885/942 | Philos: A DSRM Method for improving Interoperability in Systems-of-Information-Systems through API Semantic Analysis
[NO] 886/942 | Proceedings of the 3rd workshop on Quantum Computing and Quantum-Inspired Technology for Data-Intensive Systems and Applications
[NO] 887/942 | Enhancing Air Pollution Awareness in Bangkok: A Mobile HCI Approach Integrating Real-Time Alerts and Gamification
[NO] 888/942 | Mobile-ARTiFACT: An Augmented Reality Learning Platform for Cultural Heritage Digitization and Education
[NO] 889/942 | Structural MAT: Clean and Scalable Medial Axis Simplification via Explicit Surface Correspondence
[NO] 890/942 | Decentralized and Adaptive Internet of Vehicles: A Blockchain-Based Approach
[NO] 891/942 | AI Multimodal Personalized Language-Assisted Inclusive Early Childhood Education: Improving Early Reading and Classroom Interaction Ability of SEN Children
[NO] 892/942 | Low-Rank Koopman Deformables with Log-Linear Time Integration
[NO] 893/942 | Sketch2Arti: Sketch-based Articulation Modeling of CAD Objects
[NO] 894/942 | Debiased Contrastive Representation Learning for Mitigating Dual Biases in Recommender Systems
[NO] 895/942 | Coordinated EV OD Demand Estimation and Traffic Sensor Placement in Smart Grid and Intelligent Transportation System
[NO] 896/942 | Design Strategy for Novel Structures of Lumped LC Filters Based on 3D Stacking Processes
[NO] 897/942 | Intelligent Decision-Making for Multi-Domain Cooperative Jamming against Netted Radar
[NO] 898/942 | Controllable Risk Scenario Generation From Human Crash Data for Autonomous Vehicle Testing
[NO] 899/942 | Measurement and Quantitative Analysis of Oxide Trap Evolution in Power SiC Devices
[NO] 900/942 | Joint Resource Allocation in Vehicular Networks Based on Multi-round Emergent Communication with Dynamic Reward
[NO] 901/942 | Assessing the Transferability of L-Band SAR Soil Moisture Retrieval Parameters Between Agricultural Crop Types
[NO] 902/942 | Intelligent Cooperative Computation Offloading and Resource Allocation for Dual-Dependency Tasks in Edge Computing
[NO] 903/942 | CORA: A Cognitive Reframing Dialogue Agent for Supporting Emotion Regulation_supp1-3709312.pdf
[NO] 904/942 | Dynamic Multi-Objective Co-optimization of Unmanned Aerial Vehicle Placement, Task Scheduling and Resource Allocation for Remote Sensing
[NO] 905/942 | Research on Temperature Error Compensation for Fiber Optic Gyroscope Based on LSH-PSO
[NO] 906/942 | Welcome Message from the IWCMC 2026 Program Chairs
[NO] 907/942 | CTRL-G: Controllable Generative Graphics for Games
[NO] 908/942 | Proceedings of the Digital Production Symposium
[NO] 909/942 | From Brief to Scene: Agentic AI for Asset Production at Ubisoft
[NO] 910/942 | Adding Workflow to a Workbench for Digital Geosystems for a more agile Research Software Engineering approach
[NO] 911/942 | Smart Grid Security Attack Detection Using XG Boosting Combined with Genetic Algorithm
[NO] 912/942 | Improving Object Detection Accuracy through Image Enhancement Methods in Low Contrast Space Surveillance Images
[NO] 913/942 | Evolution of Website Security Architectures Under Emerging Cyber Threats from 2020 to 2024
[NO] 914/942 | Investigation of Design Approaches for Monolithic Microwave Integrated Circuit (MMIC) Phase Shifters
[NO] 915/942 | Spectrum and Service Management in Space-Air-Ground Integrated Networks for Smart Construction
[NO] 916/942 | Locating Mobile Devices Equipped With Cameras Using LASER Beacons
[NO] 917/942 | Ensuring Orchestration Continuity in Green Participatory Fog through Lightweight Failover
[NO] 918/942 | Combining Classical and Transformer-based Approaches for Text Classification and Topic Modeling of the Tatar Language
[NO] 919/942 | New Models for RDP and Ransomware Attacks in Zero-Trust Critical Smart Grid Infrastructures
[NO] 920/942 | IPL Score Prediction Using Machine Learning: A Data-Driven Approach for Cricket Analytics
[NO] 921/942 | A 0.75V, 1.43%-Inaccuracy 4T MOS-Based Voltage Reference in $251 \mu \mathrm{m}^{2}$ Area
[NO] 922/942 | A 0.33 pJ/b Differential CMOS Thyristor-Based TRNG with PVT Tolerance and LSB Min-Entropy Preservation in 28nm Process
[NO] 923/942 | A 12 V-to-1V Scalable 2N-Phase Buck Converter Using 0V-Stress Balancer with Shortest $I_{\mathrm{L}}$ Balancing Path for Parallel IC Expansion in xPU Systems
[NO] 924/942 | Backside Split-VDD Write-Assist Driven SRAM Macro Scaling in Nanosheet-Era
[NO] 925/942 | Optimal Area of Interest Size for Contextual Model for ET Estimation in a Semi-Arid Basin
[NO] 926/942 | A CNN-LSTM Hybrid Deep Learning Framework for Accurate Breast Cancer Classification
[NO] 927/942 | Cyberbullying Detection in Social Media Using Machine Learning Techniques with Multimodal Analysis
[NO] 928/942 | From Computer to AI Communications: Toward Secure and Efficient Protocol
